title,company,experience_years,salary,english_level,skills_required
Python Backend Engineerдо $3500,Enquirik,,3500.0,,"Python, REST, Django, ORM, SOLID"
Python and DSP Algorithms Software Engineer,Luxoft,5.0,,Upper-Intermediate,"Python, Docker, Linux, algorithms, ORM, Git, RabbitMQ"
Junior Python/Django Developerдо $700,TeraFlops,5.0,700.0,,"Python, Django"
Trainee/Junior Python Developer IRC239337,GlobalLogic,5.0,3500.0,Upper-Intermediate,"Python, REST, API, Docker, algorithms, microservice, ORM, Git"
Back-end software development,DeepX,,1500.0,Intermediate,"Python, SQL, REST, API, Docker, PostgreSQL, React, SQLAlchemy, OOP, NoSQL, FastAPI, asyncio, algorithms, MongoDB, microservice, ORM, Git, Kafka, RabbitMQ"
Python developer (Scraping),Quintagroup,2.0,,Upper-Intermediate,"Python, API, Pandas, Machine Learning, HTML, CSS, algorithms, ORM, Git"
Python Developer/Architect (IoT),Quintagroup,4.0,5000.0,Upper-Intermediate,"Python, REST, API, Machine Learning, microservice, ORM"
Python UAV Developer,Quantum,5.0,,Upper-Intermediate,"Python, algorithms, ORM"
Middle Python Engineer,Equals 5,2.0,2000.0,Intermediate,"Python, SQL, REST, API, Linux, Js, ORM, Git, SOLID"
Lead Python Engineer,Nucleus,5.0,5000.0,Upper-Intermediate,"Python, SQL, REST, API, Docker, Django, PostgreSQL, React, Flask, MongoDB, microservice, ORM"
Senior Python Developer,Nucleus,5.0,,Upper-Intermediate,"Python, SQL, REST, API, Docker, Js, React, SQLAlchemy, FastAPI, ORM"
Python ML Engineerдо $3500,Elbax,5.0,3500.0,,"Python, Machine Learning, ORM"
Python developer,Xedrum,3.0,1500.0,Intermediate,"Python, API, FastAPI"
Python (Django) developerдо $2000,SheepFish,2.0,2000.0,Upper-Intermediate,"Python, SQL, REST, Docker, Django, Pandas, PostgreSQL, Flask, NoSQL, MongoDB, Git, RabbitMQ"
Senior Python Developer,Tabula Rasa,4.0,3500.0,,"Python, SQL, API, Docker, PostgreSQL, Js, React, FastAPI, Git, Kafka"
